xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Reference: Doke, T., 1982. Recent developments of liquid xenon detectors. Nuclear Instruments and Methods in Physics Research 196, 87–96. 
DOI: 10.1016/0029-554X(82)90621-8
COMMENTS: Use standard algebra to define units, insite ASCII symbols rather than latex (μs rather than \mu s)
COMMENTS: Use NaN for missing values
COMMENTS: Columns can be either x | y, x | y | y_error, x | x_error | y | y_error
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

SPECIES: e / Xe
Density: 3 g/cm^-3
Pressure: NaN
Temperature: NaN K
Phase: Liquid
Field: NaN
PROCESS: Diffusion (cm^2/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Reduced electric field (V*cm^2) | Diffusion (cm^2/s)
-----------------------------
4.4842962744146585e-20, 103.10647734323966
6.790275858152224e-20, 108.29790399363453
1.1605822299090586e-19, 107.07287683650613
1.6218936712059073e-19, 110.5316875515841
2.34565654910645e-19, 103.993669730858
3.1925979662724034e-19, 102.59251876459865
4.676889952655448e-19, 103.0953891248704
-----------------------------

SPECIES: e / Ar
Density: NaN
Pressure: NaN
Temperature: NaN K
Phase: Liquid
Field: NaN
PROCESS: Diffusion (cm^2/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Reduced electric field (V*cm^2) | Diffusion (cm^2/s)
-----------------------------
8.497914000732582e-20, 34.28738358374341
1.1871942555378898e-19, 36.70780791424571
1.6278721608367676e-19, 41.94973715314013
1.8110828190657137e-19, 40.63545467361468
2.3941294144111947e-19, 41.30127509274719
2.4575103217628034e-19, 43.57773190399847
3.040247045819194e-19, 43.38137238840498
3.290400270379413e-19, 47.09313132640587
3.654191873490471e-19, 46.77862121123346
5.1012280821505e-19, 48.90268231152342
-----------------------------
